# #3543, 1/2/2003 15:30:00 ~ 4/18/2017 15:30:00
# Open, High, Low, Volume, Close
319000,323000,315000,511660,321500
335000,350000,332000,1110675,344000
347000,351500,344000,499437,349500
359000,359000,342000,577944,342500
346000,346500,338500,504232,340000
331000,333000,321000,1505829,323000
330000,332500,317000,1252880,324000
320000,334500,318500,628932,334500
330000,332500,325000,526476,328500
330000,333500,322000,654733,324000
320000,330000,316000,807630,330000
327500,328500,320500,488166,320500
312000,321000,312000,372232,320000
318000,320000,314500,533585,319000
314500,318500,309000,653428,311500
311500,318500,307500,734049,316000
316000,317000,306500,668930,313000
301000,305000,298500,929328,299000
299000,307000,299000,528687,307000
303500,306500,290000,930489,291500
293000,295500,289500,701387,291500
289000,294500,286000,573437,293000
293000,298000,292000,817051,294000
289000,295500,289000,428657,291000
290500,292000,281500,769287,283000
280000,282000,270000,973941,274000
271000,273000,267500,787848,269500
270000,275500,259500,1041094,271500
266000,280000,266000,762056,280000
279000,280500,271500,778704,271500
270000,273000,266000,634666,273000
282000,292000,280000,863122,290500
291000,293500,286000,506335,293000
300000,308000,297000,990908,297000
294000,303000,294000,668674,302500
305000,305000,299500,429893,302000
303000,314000,303000,660009,309500
300000,302000,289500,949327,289500
289500,292000,282500,659611,284000
280000,285500,276000,759059,283500
283500,287000,279000,409838,279500
279500,295000,279500,510466,295000
287500,289000,282500,508102,285000
278000,279500,273000,668456,276000
279000,279000,271500,382243,276000
273000,285000,270000,793785,281000
284500,289000,282000,584297,286500
284500,290000,280000,1031421,287500
287500,291500,286500,1011632,290000
290500,291500,282500,1076920,290000
299000,303000,293000,765947,296500
296500,297000,282000,770011,288000
299500,301500,293500,842759,299000
296000,301000,294000,587196,296000
300000,311500,298000,1190038,311500
311500,316500,308500,623172,315000
317000,317000,311000,830822,312500
307000,307000,303000,884295,306000
308000,310500,303000,902893,304000
299000,302500,296500,482682,298500
299000,307000,296500,664470,307000
298000,300000,284000,928851,284000
278000,284000,274000,994684,284000
285000,287000,277500,1206928,279000
286000,287500,279000,1184791,279000
276000,285500,272000,1075290,283500
288000,300500,285500,995761,299000
292000,301500,291000,808535,299000
292000,294000,286000,849424,286500
286500,291000,283500,1081435,288000
285000,294000,284500,793342,285000
283500,294000,283500,703508,285500
293000,296500,290500,705281,296000
305000,312500,303500,1101778,310500
307000,310500,302000,685584,302000
