#=SORT(GOOGLEFINANCE("KRX:KOSPI200", "all", DATE(2003,1,1), DATE(2017,3,31), "DAILY"), 1, FALSE)
# Open,High,Low,Close => 3531
80.59,81,79.29,80.72
82.86,84.32,82.57,84.15
84.65,85.07,83.69,84.92
86.55,86.6,83.01,83.03
83.57,84.15,82.83,82.97
81.88,82,80.04,80.04
81.79,81.96,78.61,79.93
79.76,82.58,79.39,82.58
82.24,83.15,81.46,82.79
83.62,84,81.86,82.52
81.35,82.7,80.83,82.58
81.45,82.67,80.96,80.96
79.82,80.76,79.63,80.72
80.88,80.93,79.35,80.5
79.74,80.37,78.52,79.23
79.21,79.83,78.22,79.57
79.63,80.22,76.94,77.54
76.07,76.07,74.73,75.45
75.14,76.46,74.97,76.46
76.52,76.65,73.83,74.15
74.92,75.49,74.44,75.22
75.25,76.66,74.46,76.3
76.5,76.93,75.74,76.7
75.96,77.08,75.56,76.23
76.37,76.57,74.32,74.74
74.49,74.5,72.3,73.17
72.6,73.48,72.44,73.16
73.85,74.26,71.09,73.01
72.62,74.02,72.55,74.02
74.27,74.33,72.5,72.92
72.82,73.11,71.79,72.86
74.84,76.4,74.54,76.32
76.39,76.93,75.24,76.55
77.8,78.35,76.16,76.22
76.32,77,75.88,76.89
76.84,76.84,75.73,76.61
77.31,78.77,77.31,78.32
76.76,76.85,75.13,75.13
75.4,75.83,74.65,74.83
73.6,74.21,72.93,73.8
74.28,74.51,72.56,72.85
73.32,74.92,73.18,74.87
73.65,73.73,72.6,73.07
71.83,71.87,70.61,70.95
71.57,71.58,69.88,70.37
69.45,70.57,68.98,69.33
69.32,69.7,68.82,69.26
67.67,68.62,67.54,67.79
67.65,68.06,66.76,67.65
67.53,67.84,65.42,67.84
69.81,69.95,68.08,68.51
68.28,68.28,65.25,65.64
68.5,68.77,67.12,68.49
68.16,69.71,68.12,69.05
70.63,72.43,69.87,72.4
72.52,73.51,71.98,73.37
73.76,73.76,72.33,72.58
70.14,71.16,70.08,70.7
71.6,72,70.13,70.58
70,70.17,69.46,69.82
70.22,70.77,69.21,70.77
69.63,69.86,67.89,68.05
67.19,68.41,66.66,68.4
68.72,69.09,67.65,69
70.7,70.77,69.06,69.28
68.62,71.12,68.12,70.99
72.16,75.11,71.64,74.63
73.36,75.63,73.06,74.83
74,74.17,72.44,72.45
72.46,73.67,71.95,73.56
73.45,76.12,73.04,74.22
75.14,76.99,74.99,75.75
77.33,77.56,76.34,77.13
78.63,79.79,78.36,79.26
78.35,79.04,77.99,78.11
79.49,79.74,78.54,79.67
79.54,80.04,78.44,79.06
78.26,78.26,76.5,76.71
77.48,77.87,76.04,76.06
76.09,76.47,74.26,74.79
73.47,73.47,71.29,72.07
71.14,72.96,70.74,72.41
73.92,76.39,73.71,76.15
76.11,77.08,75.57,76.45
76.57,76.87,74.15,76.12
76.86,77.76,76.71,77.01
77.87,78.9,77.3,78.85
78.04,78.94,77.53,78.9
80.58,81.33,80.33,80.45
80.5,80.84,78.07,78.19
77.7,78.52,77.04,77.57
78.05,78.97,76.97,78.8
78.73,79.17,77.16,77.56
76.61,76.61,75.14,75.63
74.27,76.41,74.09,76.4
76.06,76.52,75.58,76.16
75.92,77.13,74.9,75.43
76.38,77.65,76.16,77.56
77.47,78.96,77.03,78.39
78.66,78.68,77.24,77.94
79.91,80.15,79.02,79.82
79.25,80.9,79.13,80.4
80.34,80.85,79.61,80.53
81.92,82.67,81.73,82.55
81.57,81.83,80.5,80.95
81.63,81.68,80.32,81.4
82.38,82.46,81.62,81.74
81.5,83,81.21,82.86
82.2,83.21,82.02,82.77
83.03,83.86,82.79,82.93
83.86,84.36,83.24,83.82
84.49,85.48,83.54,84.79
84.28,84.57,83.44,83.72
85.82,86.29,85.39,85.92
85.76,86.8,85.59,86.04
86.75,88.12,86.52,88.11
87.27,88.16,87.22,87.55
87.5,87.58,85.84,86.06
84.71,84.9,84.12,84.67
84.99,86.16,84.92,86.04
85.32,86.88,85.23,86.37
87.22,87.77,86.31,86.53
86.04,86.2,85.1,85.47
84.99,86.15,84.56,86.15
87.25,87.78,86.93,87.61
89.03,89.44,87.47,87.73
87.75,88.7,87.43,88.59
89.4,90.08,89.06,90.07
91.58,91.58,90.36,90.69
90.66,90.91,90.12,90.28
89.74,90.93,89.61,89.61
88.79,90.21,88.42,90.15
90.81,92.39,90.29,92.32
92.65,92.84,91.23,91.41
92.4,92.65,90.9,91.9
89.75,90.69,89.41,89.63
89.6,90.07,88.68,88.88
88.63,89.88,88.63,89.8
90.2,90.34,88.85,89.21
88.84,90.47,88.45,90.11
89.5,90.41,89.22,90.34
91.7,92.22,91.55,92.06
92.12,92.75,91.72,92.73
92.59,92.94,91.55,91.56
